[b1_frozen_efficientnet] Epoch 30/40 | Train 0.4948/0.7603 | Val 0.6014/0.7182 | Patience 6/10
[b1_frozen_efficientnet] Epoch 31/40 | Train 0.4946/0.7618 | Val 0.6293/0.6925 | Patience 7/10
[b1_frozen_efficientnet] Epoch 32/40 | Train 0.4750/0.7708 | Val 0.7118/0.7287 | Patience 8/10
[b1_frozen_efficientnet] Epoch 33/40 | Train 0.4854/0.7596 | Val 0.7009/0.7431 | Patience 9/10
[b1_frozen_efficientnet] Epoch 34/40 | Train 0.4992/0.7649 | Val 0.6031/0.7450 | Patience 10/10
[b1_frozen_efficientnet] Epoch 22/40 | Train 0.5044/0.7572 | Val 0.6821/0.7039 | Patience 4/10
[b1_frozen_efficientnet] Epoch 23/40 | Train 0.5104/0.7474 | Val 0.6259/0.7211 | Patience 5/10
[b1_frozen_efficientnet] Epoch 24/40 | Train 0.4964/0.7536 | Val 0.5682/0.7412 | Patience 0/10 *
[b1_frozen_efficientnet] Epoch 25/40 | Train 0.4978/0.7632 | Val 0.7205/0.7125 | Patience 1/10
[b1_frozen_efficientnet] Epoch 26/40 | Train 0.5025/0.7556 | Val 0.5943/0.7230 | Patience 2/10
[b1_frozen_efficientnet] Epoch 27/40 | Train 0.4978/0.7632 | Val 0.6980/0.6867 | Patience 3/10
[b1_frozen_efficientnet] Epoch 28/40 | Train 0.5083/0.7508 | Val 0.5965/0.6638 | Patience 4/10
[b1_frozen_efficientnet] Epoch 29/40 | Train 0.4780/0.7634 | Val 0.6553/0.7249 | Patience 5/10
[b1_frozen_efficientnet] Epoch 30/40 | Train 0.4948/0.7603 | Val 0.6014/0.7182 | Patience 6/10
[b1_frozen_efficientnet] Epoch 31/40 | Train 0.4946/0.7618 | Val 0.6293/0.6925 | Patience 7/10
[b1_frozen_efficientnet] Epoch 32/40 | Train 0.4750/0.7708 | Val 0.7118/0.7287 | Patience 8/10
[b1_frozen_efficientnet] Epoch 33/40 | Train 0.4854/0.7596 | Val 0.7009/0.7431 | Patience 9/10
[b1_frozen_efficientnet] Epoch 34/40 | Train 0.4992/0.7649 | Val 0.6031/0.7450 | Patience 10/10
